Tweets;Hatespeech
Träum weiter;0
AfD verschiebt offenbar Sonderparteitag zur Rente https://t.co/6aU7CPMGsZ #AfD #Rente;0
#Impfneid Wer Grundrecht nur an Geimpfte zurückgeben will ist auch der Urheber des #Impfneid|sKommt mal wieder runter von eurem hohen Moralross!Auch jeder Geimpfte sollte als anständiger Demokrat mal sein EGO zurücknehmen und Empathie zeigen. ... aber NEIN - Opfer spielen;0
Sofort diese Mörder und Bastarde dürfen keinen Cent mehr bekommen;1
Nur ein extrem dummer Mensch kann solchen Müll schreiben! Linksextreme sind keinen Deut besser als Nazis! Denn auch diese sind nur menschenverachtender Abschaum!;1
Ist das nicht der bekiffte Türke,wohatder denn seinen Teppich gelassen?;1
Etwas mehr Bildung hätte dem Hirn gut getan. Und im ÖRR empfehle ich NDR Info - öffnet Augen und Ohren und schafft Zugang zum Hirn;0
Niemals war einkalkuliert, dass Menschen gefährdet werden. Wir bitten um Entschuldigung dafür, dass die Aktion so schief gelaufen ist.;0
das ist dann hart aber nicht fair.;0
https://t.co/5T9HHhZvPn;0
Das Motiv ist zeitgenössisch geläufig. |LBR| Nicht veraltet. |LBR| Gans ist ein Zugvogel. Die Figur deutet auf Menschen nicht-europäischen Ursprungs. |LBR| Aber das Maas da extra eine Posier Session gibt ist ja heftig. |LBR| Und peinlich!;1
sag das mal den leuten die da fast von einem trottel und seinem riesigen Ventilator erschlagen wurden;0
Wenn man Überschriften wie „Merkels letzte Schlacht” liest und dann sein Smartphone ganz nah ans Ohr hält, kann man leise hören, wie Guido Knopp die Buchreihe Merkels Helfer schreibt.;0
Dann nochmal lesen, darüber nachdenken und Wörter wie Ironie, Polemik, etc. nachschlagen.Ich würde niemals die Grünen wählen, weil ich keine Partei wählen würde, welche Pädophilie unterstützt, aber was Boris Palmer dargebracht hat, war offenkundig mehr als ironisch gemeint!;1
Einfach nur ekelhaft was sich da letztens im Zug ereignet hat.Leider Gottes gibt es in unserer Gesellschaft (noch) Querdenker die meinen auch im Jahr 2021 noch Rassistisch zu sein??.#gegenrassismus #gegengewalt https://t.co/ySKF6ByAvc;0
ich verstehe die Frage nicht?;0
Du bist der Bodensatz dieser Gesellschaft.Ein Nazi durch und durch.;0
Weil wir uns überall klar GEGEN Gewalt und für friedlichen Protest aussprechen? Vergessen Sie es einfach, Ihre linke Dauerhetze glaubt Ihnen niemand. Gewalt und brennende Autos sind in Deutschland eher Sache Ihresgleichen!;1
Merkel ist doch durch Ihre Stasi Methoden doch bekannt hat die nichts anderes in Ihrem Leben gemacht;1
bei der RTL Abstimmung über Baerbock Ja/Nein (72% Nein) sieht man, wer den Sender überwiegend guckt. ??;0
Wünschenswert wäre es, wenn 50 Prozent aller Neuwagen möglichst schnell E-Autos wären und die anderen 50 Prozent gar nicht gekauft werden... Die Gesamtzahl der PKW in Deutschland ist absurd hoch.;0
gelöscht<U+0001F644> also nochmal: |LBR| DLF kritisier Israel, weil ein Tool auf googlem. vor palästinensischen Gebieten warnt und weil Hebron von googlem.s nicht navigiert wird. Was geht hier ab? Darf sich Israel nicht mehr schützen. Im Übrigen auch bei uns in D gibt es Eingriffe in googlem.!;0
#Bis auf Karl Lauterbach versteht kein Diskussionsteilnehmer die Tücke von Covid19: Die Schnelligkeit des Infektionsgeschehens und die Langsamkeit des Meldegeschehens. Die anderen beziehen sich auf aktuelle Zahlen und wissen nicht, dass diese Zahlen längst veraltet sind. Es ist bedauerlich, dass das Verständnis für die Dynamik eines sich erst mit Verzögerung offenbarenden Infektionsgeschehens so wenig verbreitet ist.;1
Warum bekommt Israel ausgerechnet vom #UNHCR Unterstützung, wenn sie 40000 Afrikaner loswerden wollen und Ungarn wird permanent gedroht, weil sie sich gg Zuwanderung entscheiden?;0
Schon wieder gelogen,dass Bild ist vom Oktober!;1
ihr versteht das VOLK nicht.;0
Die paar Hansel sind nicht die Masse der Bevölkerung. Dass sich die Merkwürdigen immer so überschätzen müssen ist ja nun schon lächerlich.;0
Keine Rücksicht auf Impfverweigerer. Volle Öffnungen inklusive Bierzelte. Außerdem sollen die ihre Krankenhausaufenthalte selbst bezahlen.;0
"Wenn ich Medien und ""gleichgeschaltet"" im Zusammenhang mit unserem Land lese, bekomme ich immer das würgen.Dieses Framing dient doch nur der Unterdrückung von Diskussionen durch rechte. Das Schauspieler so etwas mitmachen ist einfach nur zum ??????";0
Panik, der #Wetterwandel schlägt Morgen mal wieder voll zu.;0
Diese heuchlerische Moralapostel ??????-bubble, die jetzt Schauspieler unter #allesdichtmachen #lockdownfuerimmer diskreditiert. Es sterben jedes fucking Jahr 300.000 Menschen an Krebs! Ihr seid die Heuchler. Und nach Corona ist für echt die Welt wieder okay, nicht wahr? Pervers.;0
Angeblich waren Claudia Roth + Heribert Prantl ein Liebespaar.   Wie soll das abgelaufen sein?  Er:'Ich liebe dich!'  Sie:'Du, das ist jetzt nicht politisch korrekt!'  Er:' Stimmt, ich klinge ja schon wie ein Nazi!! Also: 'Isch lieb disch'  Sie:'Toll, keiner wird ausgegrenzt!'  Er:'😊';0
Einreise per Flugzeug: Regierung erklärt Flüchtlingszahlen zur Geheimsache / AfD prüft rechtliche Schritte https://t.co/r6ijPQ7u6y;0
ein Sonnenstrahl im Nieselregen. Der #bär. wundervolle Pose!;0
Das war ein typisches Plappermaul der Grünen. Da gibt es leider einige davon. Kann man leider nicht ernst nehmen.;0
Ne..Aber gegen ein „Wir brauchen eine Cannabis-Politik ohne Bevormundung und Verbote. Den breiten gesellschaftlichen Konsens haben wir“ hätte ich persönlich jetzt auch nichts ???????#Legalizeit ???? https://t.co/PXn0OwzjJz;0
Ich hoffe der gute hat vom Stadion Personal einen an den Ballon bekommen. Nur Spinner am Werk!;0
Das Problem ist das Zwei-Parteien-System. Kaum Gestaltungsspielraum für Kompromisse und/oder frischen Wind. Es geht oftmals nur darum sich massiv von der anderen Seite zu unterscheiden. Das Zwei-Parteien-System trägt ebenfalls zur Spaltung bei, da es keine weitere Option gibt.;1
POL-PPWP: Cannabis sichergestellt https://t.co/om8rTFz1u3;0
Solange Antisemitismus in den Bundesministerien praktiziert wird, wie z. B. im Bundesministerium für Bildung und Forschung, ändert sich in ???? nichts!;0
Ägypten ist ein von ein autoritäres Regime, das seine eigene Bevölkerung wie Dreck behandelt.Da hab ich etwas höhere Ansprüche an Israel, das für mich immer noch eine offene liberale Demokratie ist.;1
Oh Gott, was sollst Du jetzt nur wählen! ??;0
, #Genderpolitik und nun #Coronapolitik wissen:Gar nicht.Wer sind die Opfer eines totalitären Regimes?- #Nazi Zeit ca 10%- #Stalin Zeit ca 10%- neuzeitlicher #Humanismus in #BRD ca 75%- #Corona ca 99,9%Heutzutage einen afd Wähler im Keller zu verstecken, kann die4/;1
"Die Ernennung von Heiko #Maas zum Außenminister hätte zwei Vorteile: 1) er könnte als Justizminister keinen Schaden mehr anrichten; 2) der jämmerliche Zustand des deutschen Politikbetriebes würde für das Ausland transparent. #allesgut";0
Ehrenamt am Wochenende darf auch mal Spaß machen. <U+0001F60E>;0
ihr müsste ER ein bißchen auf due Zähne fühlen - Roth hinter Transparenten - Habeck;1
Das zeigt mal wieder ein ganz intelligenten Beitrag;1
und geht zu kick, um billige Klamotten zu kaufen, die in Bangladesz hergestellt werden und wegen dieser Produktion ganze Landstriche vergiftet werden.;0
Contra-Mag.:Putins Italienbesuch: Beziehungen verbessern: Russlands Präsident Wladimir Putin will im Juli Italien besuchen. Die bilaterale Kooperation soll verstärkt werden. Von Redaktion Der russische Präsident Wladimir Putin wird im Juli Italien… https://t.co/P5xsYQY6Sn;0
Wir ham da mal was vorbereitet #Briefing für Kevin Kühnert... falls Boris Palmer persönlich werden sollte. Ein wenig Argumentations-Futter: https://www.facebook.com/BPalmerWatch/posts/1278237332331107?__tn__=-R;0
Und ehrlich gesagt sind die beiden anderen Gäste auf der Bühne viel interessanter als ich. <U+263A><U+FE0F>;0
Liebe Manuela und lieber Wallintin, ihr habt vollständig recht! Die Schulddoktrin gegen das Volk von Deutschland, ist der größte BRD-Betrug. Allein die Wahrheit hat Bestand, sagt sie mutig frei raus! So kann ein Deutscher auch Palästinenser sein. Wahrhaft tapfer!;1
Genau, und am deutschen Wesen - insbesondere dem Steuerzahler - soll die Welt genesen.;0
Ich habe Ihnen die Kommunikationsstrategie der Neuen Rechten aufgezeigt, deren parlamentarischer Arm die AfD ist. Wissen Sie, was rechter Gramscismus bedeutet? Haben Sie sich schon einmal mit den Diskursverschiebungsstrategien der Neuen Rechten zur Erlangung der Diskurshegemonie beschäftigt?;1
"""Viele Fälle würden Rechtsextremisten zugeordnet, ohne dass es konkrete Anhaltspunkte dafür gebe.""https://t.co/2y3SBHnuiq";0
Das ist mir nicht entgangen, lebe nicht in einem Loch .;0
#klimascheiße  https://t.co/Dvu0WJO47J;1
Die AFD ist es auch nicht und verdient jeden Kübel Scheiße der sich finden lässt. Und diese Aluhutpartei braucht genau das gleiche. Und jetzt heul leise.;1
komisch, beim Thema Bildung darf doch auch ungestraft jeder mitlabern,ohne eine fachliche Qualifizierung vorweisen zu können. Vor Allem die Arschgeigen aus der Wirtschaft pupen da immer schön laut rum. Gut, dass sich beim Thema Wohnen alle mit einmischen, wirklich gut!;0
Gehörst du eigentlich zur Masse der Mitläufer in eurem Todeskult, zu den wahrscheinlich gut bezahlten Durchseuchungspropagandisten oder zur Elite der #Coronazis (eher nicht, schätze ich). Und wer hat dieses Mal die Dogwhistle geblasen, mich zu stalken?;1
2/3  Der Lutscher auf diesem Bild wohnt in Paris und Barcelona in den teuersten Wohngegenden und war wahrscheinlich noch nie in seinem Leben in Görlitz....wenn ich da an King abode, den Neubürger mit der sagenhaft großen fresse und 345 Anklagen, denke, dann sollte unbedingt https://t.co/aKnCsNvEac;1
achso… ja und wirfst du dir das selbe auch bald vor ...oder beginnst du vielleicht mal langsam selber zu denken!?;1
Jetzt mal im ernst, es gibt z.Z. im Kabinett Merkel keinen Politiker, den ich unsympathischer und unauthentischer finde, als den Altmaier..;1
zumindestens gibt es genügend Lehrstühle welche sich ausschließlich aus diesem Zweig finanzieren. Dazu kommen dann noch die Profiteure dieser völlig durchdachten Energiewende 👍. Täglich den Weltuntergang beschwören ist natürlich sehr besonnen 🤣. Warum nicht direkt zur Klimareligion noch eine passende Kirchensteuer einführen?;0
Gedanken über die geschützte Rasse https://t.co/TtBoATNIpE;0
Die Anzahl der Asylanträge ist wesentlich geringer als die Anzahl der Zuwanderer. Man täuscht mit den Asylzahlen über die wahren Zuwandererzahlen hinweg.;0
Impressions https://t.co/qwqIs8nqVw;0
Hess Kola Challenger Tschernobyl Reagan Gorbatschow USSU-Summit Mauerfall 342. Treffen 26.04.2019 https://t.co/QEDUiLyVSa https://t.co/GrVJvZnPG7;0
Na wenn das die einzigen sind. ??;0
Gut dass du ja seriöse quellen nennen kannst um behauptungen zu belegen die von 99 prozent der promovierten wissenschaftlern (die auch auf diesem bereich was können) abgelehnt werden?;0
Ach klar, diese 3 weltweit anerkannten Pandemie- und Sarsexperten.Beraten die nicht Brasiliens Regierung?Is aber gut jetzt. Schon wieder viel zuviel kostbare Lebenszeit mit Euch Hirnblockierten verschwendet.;1
Wenn schon die halbe Welt wieder öffnet und nur Deutschland den totalen Lockdown durchzieht, könnte man dann nicht zum Schluss kommen, dass das Virus nicht so gefährlich ist wie die Medien es ständig darstellen, oder ist die halbe Welt nur dumm und einzig und allein De ist schlau;0
https://t.co/HJ3L9n3mKK;0
Schade das man von der FDP nicht andere Vorschläge hat.;1
"die amerikanische Freiheit absolut nichts mit Politik zu tun. Sie betrifft die Weite dieses Landes, die Dimensionen. Den Menschen, die dort wohnen interessiert zum Beispiel nicht im geringsten was irgend ein Europäer über die USA denkt. NY ist auch USA, klar, aber nicht ""die"" USA.";1
"Weil die libysche Küstenwache keine ""Seenotrettung"" betreibt. Kapieren rechtsradikale Spinner das etwa nicht?Es spielt sehr wohl eine Rolle, ob der gerettete in Sicherheit gebracht wird. In Libyen sind diese Flüchtlinge definitiv nicht sicher, somit ist es keine Rettung.";0
Wenn du meinst er soll sich mit ganz hartem Tobak mal wieder einkriegen, liest sich das für mich so als wäre diese Reaktion eben nicht das, sondern passend in deinen Augen.Völlig Richtig. Zwischen dem und alle 52, unabhängig davon was sie selbst gesagt haben, alsRechtsextreme;0
"Draußen ""deutlich weniger Ansteckungsgefahr""? Die Zahl der Neuinfektionen nehmen auch in Deutschland wieder stark zu. https://www.tagesspiegel.de/berlin/das-ist-ein-grund-zur-sorge-berlin-verzeichnet-hoechste-corona-inzidenz-aller-bundeslaender/26204550.html?fbclid=IwAR2Wx9SveCHg0FkuaVj1zczeiIIG5xLr02Lj_7MltKxiPiXFF2suxtv54Mo";1
Damit man von vermeintlich 'Tugendhaften' noch leichter gedoxt werden kann? Die Tatsache, dass genug aus deren Ecke einzig deswegen Mehrfachaccounts führen, um andere Nutzer zu stalken (sollten sie bereits geblockt/bzw. gesperrt gewesen sein), beweist deren kriminelle Energie.;0
Der menschliche Einfluss auf das Klima im Zeitalter der Industrialisierung ist längst bewiesen.;0
Verzichte;0
Dieser Mann ist allenfalls Pressesprecher der Querdenker und der AfD.. absolut untragbar für die #BPK..;1
Schwer kriminelle #Flüchtlinge können aufatmen: Der #EuGH hebelt die #GenferKonvention aus und beschert ihnen weitgehende Bleiberechte.  https://t.co/jmXlLfXX65;0
versuchs einfach zu lesen und zu überprüfen, ohne relegiösen einflusshttps://t.co/rl6PwShQX1;0
Man sollte Journalisten-Packages anbieten: Urlaub wie im 18. Jahrhundert!;0
Ein Vulkanausbruch ergibt mehr schädlichen Dreck als alle Fahrzeuge zusammen seit Anbeginn, aber ihr lutscht halt gerne.;0
Zwangsheirat und Vergewaltigung - diese Unkultur fördern Linksverblendete und Multi-Kulti-Klatscher in Deutschland, inszenieren andererseits aber die übertriebene #metoo-Kampagne. Was für linke Heuchelei! #AfD #Poggenburg    https://t.co/HxLyWTPCRR;1
Also ich muss ganz ehrlich sagen, dass ich es ganz schön lächerlich finde, dass der Mann eine Astronauten einen Preis als Vater des Jahres bekommt. Ganz ehrlich, aber finanziell haben die beiden auf jeden Fall keine Sorgen, auch wenn einer von beiden zwei Jahre Elternzeit nimmt. Da gibt es Väter, wir machen zwei Jobs, damit die ihre Kinder und ihre Familie vernünftig versorgen können. Die hätten die 5000 € zunächst auch mal mehr nötig gehabt. Aber das ist halt typisch und unsere Gesellschaft. Eliten werden immer hofiert.;0
"Nein, sind wir nicht. Es ist ratsam, ""achtsam"" zu sein, ja. Es ist ein Szenario. Aber nicht erwiesene Tatsache, schon gar nicht hinsichtlich Details.";0
Ich Flüchtling kanacke:ich finde nicht das  ein nazi ist und ich finde nicht das die Partei #AFD rassistisch ist.. paar Spinner hat jede Partei und ich finde eher das Söder ein Nazi ist vor paar Jahren war er noch offen rechts.Deutsche blonde frau: #Deutschland https://t.co/1tlZYz8L6o;1
... und ohne Menschen.;1
Ein #Innenminister #Seehofer der Verständnis äußert für den Mob in #Chemnitz und sein Stellvertreter (#Staatssekretär #Maaßen) der rechte Gewalt leugnet. Die faschisierten Apparate haben endlich eine adäquate Führung.;1
Alles Gute für Euch alle und ganz viel Kraft.;0
Die Heimatlose. Man kann ihr nicht helfen.;0
"#Lanz #Merz #CDU Fritze Merz, das charakterliche Pfui der Union, sollte mehr solcher Auftritte haben. Begeistert hat mich vor allem, daß er mehrfach ""denen"" gesagt hat als er über die Ostdeutschen gesprochen hat. So wie ein Sklavenhalter über sein Leibeigentum.Fritze, spitze!";0
Was vor 60 Jahren mit dem KPD Verbot begann, reicht über Berufsverbot und §129 Verfolgung bis heute - Freiheit für unsere Gefangenen!;0
Erster! 🎅❄️🌲 https://t.co/fs6w7bLoPD;0
Selbstverständlich. Wobei auch hier das Geld nichts bringt, wenn man viele Sachen aktuell gar nicht machen kann. Unabhängig davon, wie viel Mitleid man persönlich vielleicht für solche Personengruppen empfindet.;1
Söder geht davon aus, dass er nach den Wahlen gebeten wird,die Union zu sanieren.Bei Merz weiß das Präsidium der CDU,dass er aus Sicht vieler aus der Gesellschaft als Kanzlerkandidat nicht tragbar ist,auch nicht für die Grünen als Koalitionspartner,was Söder a la Kurz gern hätte.;0
Die Bundesregierung schmeißt eher die Deutschen raus bevor sie das Kriminelle Pak raus Entsorgen;1
.haha sie meinten Akk;0
na den würde ich vom Sofa holen.und ihnen würde ich raten nicht soviele Aufgaben anzunehmen;0
"Sohn von Israels Premier #Netanjahu zu Außenminister #Maas (SPD):     „Es wäre schön, wenn Sie mal aufhören würden, sich in unsere internen Angelegenheiten einzumischen &amp; hunderte linksradikale NGO's in #Israel zu finanzieren, die unsere Zerstörung wollen.'    https://t.co/VCkSZ0zNFW";0
Ich gehe davon aus, u damit bin ich nicht alleine, dass es nach der 3.Welle noch eine 4. große Welle geben wird: Jugendliche und Kinder. Für letztere könnte es sogar eine 5. Welle zum Herbst geben, wenn sie immer noch ungeimpft in kalten Klassen sitzen. Kinder sind auch Menschen.;0
Wie kommen Sie auf 27 ?  456 impftote in 21 Jahren, nur  corona impftote 429;0
"du bist also ein depp und wählst die ""deppen für deutschland"" dann tust du mir leid.";1
Der Typ ist ein übler Linkspopulist . Dieses Angebot ist eine arrogannte Frechheit und Unverschämtheit. Wir könnten ihn ja mal einladen sich Filme über wirkliche Nazus anzusehen , damit der merkt wie dumm sein Gesaber ist und damit er mal lernt was wirkliche Nazis sind.;1
"Ach,was ist denn das ""eigentliche Thema""? Es geht um innere Sicherheit..";1
80.000 Liter Wasser VERNICHTET für ein E-Auto👇👇👇    Na, Grüne könnt ihr noch ruhig schlafen? 🤦‍♂️🤢    Verteilen und verbreiten auf allen Kanälen. ✌️    #FridaysForFuture #ClimateStrike #GretaThunberg   https://t.co/l1tVemRVOc;0
Nö, den Begriff geistert immer mal wieder rum. Kannst du mir das in eigenen verständlichen Worten sagen?Bitte keine Links.;0
Solidarität mit Arbeitnehmern heißt bei #Merkel, dass wir die höchsten Steuern zahlen, länger arbeiten und dann noch eine niedrige Rente bekommen, damit Merkel unser Steuergeld mit vollen Händen an andere Länder und Sozialschmarotzer verschenken kann. #1Mai #Dexit #MerkelMussWeg;0
Oder – ach du Schreck! – ist das der von SPIEGEL TV?;0
Scharia Partei Deutschland. Pass ja doch. https://t.co/kuUDo3KE6v;1
Nu 5,0? Sie sind zu weich. Diese Frau und ihre Veröffentlichungsanstalten gehören in die Klapsmühle. Wer hat endlich die Größe und stoppt diesen Irrsinn. Ich war nie ein Freund von Merz, Maasen etc.,  aber langsam muss mal etwas auf politischer Ebene passieren. Es ist 5 nach 12.;0
Liebe Linksfaschos:  Ich werde euch weder auf meine von euch gescreenshotteten Tweets mit eurem Unsinn drunter, auf 2. Accounts oder Beleidigungen per DM antworten. Was nicht heißt, dass ihr Recht habt, sondern dass ich euch keine Reichweite durch Erwähnung schenken will.;1
⁦   .....ich denke, dass hier ist eine recht gute Ergänzung...?     „Regierungsprogramm der AfD Sachsen“ – Wie man Rechtsextremismus, Rassismus und Angst in ein Programm gießt! | Staatlich Geprüfter Klugscheißer auf Twitter https://t.co/Dq4YZdklbs;0
Und ja. Journalisten müssen Konzernen wie RWE die Stirn bieten. Sie müssen aufdecken, wenn Konzerne großangelegte Desinformationskampagnen Hand in Hand mit der Regierung fahren. Seit Jahren.;0
"Vertreter des ""Gestern"" sind die grünen Pharisäer, die andere zum Verzicht auffordern und selbst nicht verzichten, da sie wichtig sind oder keine Lust haben. Ein besonders schlimmes Beispiel ist der Herr Jaenicke, der heute Gast ist. Warum argumentiert keiner mehr gegen grünen Schwachsinn und grünes Pharisäertum? Auch die Zigaretten-Aktivistin glaubt, sie habe kein Einfluss. Und müsse daher selbst nichts tun. Es sind immer die anderen.";1
, Fußball, ist ja auch immens #lebenswichtig, im Gegensatz zu Besuchen im Seniorenheimen, wo man genau 20 MINUTEN , mit Termin selbstverständlich ,bei dem Elternteil verweilen DARF-- im Freien, auf 2 Meter Abstand MIT Maske......TTOOOOOOOORRRR so schön normal, nicht wahr👎👎;1
Hehehe! Mein Hund beisst dir gleich ne Pobacke ab! Er meint, solche Honks können per se schon nicht von Hunden abstammen! <U+0001F680>;1
Lies dir doch nochmal dein seichtes Geblubber und Geschwurbel durch. Solltest du dann immer noch der Meinung sein, dass dies inhaltliche Beiträge sind, geh mal zu deinem Arzt, die Medikation überprüfen. Dies war jetzt mein letzter Beitrag für dich...;1
Wenn ausgerechnet ein dude mit einer offensichtlichen Mitgliedschaft in einer Nazi-Partei überhaupt was von Werten schwafelt, hat das schon etwas von Realitätsverlust.;1
ja genau lasst uns alle darauf vertrauen dass die lieben, gutmütigen Investoren und Unternehmer unser Klima schon ausreichend schützen. Ist ja nur unsere Zukunft.;0
Ich bin alt geworden.Möchte gegenüber so Menschen wie Göring und Baydar nicht mehr tolerant sein.Solch ein Duktus müßte man sich mal als Deutscher gegenüber Migranten erlauben.4 Wochen Anne Will... mit Marathon-Live-Sonder-Sendung.;0
Ein friedliches Miteinander wird nur solange praktiziert, wie #Muslime in der Minderheit sind! Die Mehrheitsverhältnisse ändern sich aber täglich! #Christen werden weltweit verfolgt! Der politische #Islam widerspricht allen christlichen Werten und gehört nicht zu #Deutschland! https://t.co/M7MKwJOW6D;1
"Wie immer an Halloween ist auch heute wieder mit einem vermehrtem Aufkommen rassistischer &amp; faschistischer Deppen in #Aachen Innenstadt zu rechnen. Haltet die Augen offen &amp; passt auf euch auf! #NaziWatchAC #Neonazis #Kaltland";1
mit überhöhten Benzinpreisen werden erneut die weniger Wohlhabenden bestraft,die auf ein Auto angewiesen sind. #Gruene sind für mich seit Langem nicht mehr glaubwürdig.;0
Kann sich noch jemand daran erinnern? Diese Niete war mal deutsche Verteidigungsministerin. Was für eine Lachnummer. Ich glaube ja ehr, dass unter v.d.Leyen zusammen mit Baerbock das gesamte europäische Konstrukt über Deutschland in einem gewaltigen Chaos zusammenkracht.;0
hörnse auf mit dem SCHEISS!!;1
Such mai dil ko https://t.co/Scrkf0p7mk;0
ich bilde mir meine Meinung durch Fakten und Argumente. Es gibt z.b die App Electricity Map. Dort kann man sehen das Sie hier Blödsinn verbreiten. Gibt auch beim Fraunhofer Institut hervorragende Ausarbeitungen. Aber dafür muss man sich mit dem Thema wirklich auseinander setzen.;1
Anne will denkt oft nicht nach, die Doppelmoral in Person.Schlechter Journalismus wie bei allen Systementreuen Journalisten🤔;0
"Werbespot gegen Diskriminierung und dann ???? als ""Alman"" bezeichnen. Immer als harmloser Begriff verkauft, wird  aber speziell von Leuten aus der ""Partyszene"" abfällig, diskriminierend verwendet. Als würde man in dem Spot ""Kanake"" sagen. #DFBPokal #BVBKSV #Maassen #1Mai";0
Keinen Plan mehr?Naja war auch klar, heiße Luft und nichts dahinter.;0
Woran machen Sie journalistisch fest, dass eine Sammlung schriftlicher Absichtserklärungen, die die breite politische Öffentlichkeit bis gestern weder ahnte noch vermisste, bereits heute als „historischer Akt“ zu werten sei? Das ZDF und Merkels sind ununterscheidbar.;1
Für diesen vollkommen verblödeten und intelligenzfreien Tweet verleihe ich Ihnen den https://t.co/Z9FTOYOKGA;0
Denke das Trump die Wahl gewinnen wird, ohne Tumulte oder sonstiges.;1
Deutschland hasst Menschen. Es ist Nazi geblieben. Wer sich für Herkünfte (z.B. aktuell dunkelhäutige) stark macht, für Kinder, Frauen, sexuelle Orientierungen, alte, linke, kurz Menschen sortiert, ist ÜBELSTER FASCHIST. Ein menschlicher Mensch tut das nicht. ALL LIVES MATTER!;1
wieder mal geschlafen im #Bundestag #Brandner #AfD #afdwirkt #noAfD https://t.co/9QhzFor527;0
Wetten, dass Sie vor der Glotze sitzen um nur ja nicht's zu verpassen 😉😂;1
Man hat ja gesehen , im Einspieler, wie marode der Bau in Berlin war, Fenster aus den 50 er Jahren, wenn man immer regelmässig saniert / moderniesiert, nicht erst nach knapp 70 JAHREN wird es nicht so überzogen teuer... Der Herr von der Immobilien - Bau in Frankfurt / neues Wohnen, ist ja ganz nett, nur die BARRIEREFREIHEIT wurde nicht bedacht, oder soll man falls es mit dem Laufen nimmer geht, unter der Brücke schlafen leider konnte ich gestern kein Konzept erkennen, wie Mietwohnungen schnell und bezahlbar entstehen könnten...bilden jetzt alle Parteien erst mal wieder einen Arbeitskreis oder geht es ev auch mal etwas unbürokratischer...was auch auffiel, Politik kann es sich leisten Eigentum UND Mietwohnung zu finanzieren, wobei der *normale* Bürger sich fast nicht mal eine Mietwohnung leisten kann. Heute zahlt man zwischen 45-50 % seines Einkommens für Warmmiete und Strom. Die Preise steigen so rasant, nur die Löhne nicht, was Politik mit dem Mindestlohn ja gekonnt forciert...Finde den Fehler !!!;0
Dumme Göre,deine Tage sind auch gezählt,aber für 5oo Euro kaufe ich dir noch die Rolex ab bevor Du in Palestina eingedost wirst.<U+0001F44F><U+0001F923>;1
Ich möchte einfach nur, dass Laschet am Ende weint.;0
