,Text
53,ach ihr sein antifa -- der schwarz vermummter der in der stadt randalieren -- auto anzünden -- scheibe einschmeiß -- aller möglich wand voll schmieren -- danke für der info --  wenn sie jetzt bitte noch mitteilen können wer der kopf der zerstörungsbande sein --
54,auch wenn 782x kommentar zu viel für 1x # annewill -- fokus auf maßnahme --  -- -- energiewende -- eeg + co2-preis  -- -- verkehr -- verbrenner-aus + autobahn-moratorium  -- -- renaturierung -- schutz alt wald + moore vernässe  und btw -- geben zu klimakrise auch noch # artenkollaps -- --
55,ständig werden der unzählig tot -- vertrieben oder um ihr lebensgrundlage beraubt mensch ignorieren -- der der klimakatastrophe kein zukunft lässt -- der hasswelle gegen eurer kritikwürdig -- aber mutig aktion sein rein heuchelei -- heute haben ihr unser solidarität --
56,der holocaust haben nicht in islamisch land stattfinden
57,tiefer respekt vor -- sich ständig dieser müll von der kaufmann -- brandner und co. der # fckafd     reinziehen -- um dieser zu entlarven -- da brauchen es doch k.tztüt ohne ende # noafd
58,für großunternehmen kein thema -- klein familienunternehmen sein aufgrund der drückend steuerlast dann zwingen mitarbeiter zu entlassen oder alternativ in der konkurs zu gehen --
59,covid-tote = verstorb nach ein positiv pcr-test mit ct&lt;50 -- unabhängig von der todesursache --
60,es geben ein grund für flugverbotszon -- fußballstadien sein solcher  der verletzen ein flugverbotszone sein ein schwerwiegend straftat
61,mehr bürgerbeteiligung bei politisch entscheidung kommen dann --
62,ich bleiben skeptisch .. der schreien jetzt schon nach lockerung ..   kaum sein man in lockdown .. sie kapieren es halt nicht ..   jojo-effekt seit herbst .. -- -- -- -- -- -- --  hab ne bar -- machn bisschen in sommer außen -- aber ab herbst rechnen mit erneut schließung -- -- -- -- -- -- --
63,verzweifelter kampf gegen der maßnahme der virus eindämmen -- unter missachtung aller warnung von wissenschaftler werden nach drei jahr beenden --  jetzt massiv lockdown --
64,in jeder handbuch für pandemie bekämpfung können man nachlesen -- dass man ein polizeistaat errichten muss -- um der bedrohung herr zu werden -- verstehen ihr denn einfach nicht -- dass es nur zu eurer beste sein -- wenn man euch der schädel einschlagen möchten --  # covid19
65,abgehalftert schauspieler -- es geben deutlich groß und bekannt schauspieler -- der für so ein scheiß sich nicht hingegeben haben -- egal ob es satire sein sollen oder nicht -- sein der außendarstellung einfach total müll sein und querdenken und afd feiern der ab -- gg
66,ach echt sollen ich oder sollen sie --  ihr sollten uns gar nicht über geschichte unterrichten -- ihr sein der ursache für dieser holocaust -- wieso sollen der palästinenser dafür bezahlen --  wenn sie darüber reden -- dass der jude sein der hauptbewohner --   der stimmen nicht -- stehen auch in torah --
67,dieser leerdenker-wohlstandverwahrlosten-promi haben auch ne kampagne für  -- sicher bildungseinrichtung  -- effizient pandemiebekämpfung  -- solidarität mit indien  machen können --  was machen sie --  suchen sich groupie bei leerdenkern & amp -- rechte --  super -- klasse machen -- nicht --
68,er doch bestimmen rechts -- oder -- -- bitte sagen sie es doch um himmel wille -- er mussen es doch sein -- sagen sie es doch bitte -- sie wollen es doch auch -- sie haben doch der beweis -- sie schreiben es doch -- er mussen rechts sein -- sagen sie es bitte -- # allesdichtmach # niewiederaufmachen
69,fickt euch und eur dreck nazi bulle --  
70,und noch etwas -- es geben medikament der scheinbar recht gut wirken -- dreimal darfst du raten warum der in deutschland noch nicht einsetzen werden -- da kann gar nicht lange genug gehen mit der zulassung -- aber bei impfstoffen reichen ein notfallzulassung --
71,-- unbeabsichtigt falschanwendung fallen eventuell erst viel zu spät oder nie auf --
72,# gruenen no -- --  # baerbock fordern -- -- man muss nun kein botanisch wissen haben aber einer -- -- pissnelke -- erkennen jeder  solcher heuchlerisch gesindel # gruene & amp -- vorne klimaschutz -- -- und hinterrücks zünden der -- -- # kriegstreiber  apropo wieviel # gruene besitzen eigentlich villa # berlin -- --
73,boris -- erwachsen kind können tun und lassen was sie wollen -- eltern sein dafür nicht verantwortlich zu machen -- sonst sein wir wieder bei sippehaft -- söder bieten wissen gott genug angriffsfläche -- da mussn man nicht auf kind verweisen --
74,ach ja -- der andreas mit der groß nummer dahinter ....  wunschdenken --
75,sein neubauer aus der alter für fff -- wenn ihr so viel an klima liegen -- sollen sie every day for future in leben rufen und aufhören nur sinnlos zu   labern --
76,wenn der merken der man auch in der türkei aufwachen und in nem lockdown sein haben der schnell ein anderer thema und jeder der jetzt noch nicht merken haben der der typ ein spinner sein der sein eh nicht mehr zu helfen --
77,ich glauben nicht -- dass mein tochter der so sehen -- -- --
78,was schreiben sie -- sie haben mich leider sperren -- übrigens für freundlich nachfrage --
79,auch hier sein klar der sich der faden bis zu merkel in kanzleramt spannen ....
80,der afd sein ein faschistisch terrororganisation  halt der fresse nazi
81,sein ein treiber -- der cdu sein überraschend sprachlos -- und einiger möchtegerndenker wollen sogar staatssekretärinn der mund verbieten -- # lesetipp für sie und ihr team -- -- was vorher unsagbar sein -- bekommen immer mehr zulauf -- 
82,häh -- wie können jemand -- kanzlermaterial -- sein wenn er seit jahrzehnt in der politik sitzen und erst auf argument hören -- wenn sie ihm bei anne will an der kopf schmissen werden --  dieser mann haben eigenhändig seit jahr -- -- -- klimapolitik versagen -- mit anlauf -- trotz aller argument --
83,ich werden gerne wissen -- unter welcher bedingung man als rentner in russland einwanderung können -- -- ernstgemeint -- -- der sein bei mir in 10 jahr soweit -- vielleicht fallen ihnen ein paar broschür in der hand --
84,# laschet als # kanzlerkandidat mit ein stark votum der # cdu sein der widerspruch schlechthin --  er sein 2. wahl -- # baerbock sein 2. wahl und scholz der kandidat der 2. wahl partei # spd --  der rest sein entweder braun # afd -- rot socke oder haben sich schon mal verpisst # fdp --  -- --  # kfrage
85,-- --
86,mein hoffnung sein dass herr laschet gewinnen und söder verlieren -- dieser mann taugen zu nichts -- söder sein ein übl blender -- wer ihn wählen -- wählen   ein looser --
87,dieser # bundesnotbremse erscheinen mir eher wie ein brandbeschleuniger -- # irrungenundwirrung
88,ich haben auch schon über auswanderung nachdenken -- aber wo sein es wirklich gut als hier -- was nützen schön wetter -- gering abgabe und kosten -- wenn z.b. der gesundheitssystem nichts taugen --  zu zeit haben ich der idealziel noch nicht finden --
89,afd scheiße -- cdu scheiße -- fdp scheiße .... nicht wahr -- es leben der neu sozialismus -- -- -- -- --  
90,heute sein ein tag um unser # solidarität mit # israel -- -- -- -- ausdrücken -- lasst euch nicht mehr alle fallen von der terrorist der # hamas und ich hoffen es lässt sich niemand von der armada an lügentrollen auf twitter beeinflussen der der angreifer als opfer darstellen --
91,ähm -- ja -- 
92,solange antisemitismus in der bundesministerium praktizieren werden -- wie z. b. in bundesministerium für bildung und forschung -- ändern sich in -- -- -- -- nichts --
93,der nennen man planwirtschaft --
94,und weil es so schön sein -- noch ein paar just for -- -- -- 
95,armin -- parselmouth -- laschet -- kohleausstieg 2038 -- klimaneutral 2040. und wer der raum verlassen -- der knipsen der klima aus -- mann -- mann -- mann --
96,ganz genau -- sie sagen es der mensch sein einfach ein neurotiker es gehen nur um sein gestört ego --
97,# fridaysforfuture -- wie sein es denn mit ein # thursdayforhealth -- oder auch monday -- tuesday -- --  ihr habben ja schon zeigen -- dass ihr was bewirken können -- macht darauf aufmerksam -- dass ihr nicht durchseucht werden wollen -- --
98,der sein ann-kathrin -- sie sein bei der grüne -- dumm wie scheiße und natürlich links-extrem --  ann-kathrin wollen mal so werden wie all cops are baerbock -- 
99,der pflegepersonal kriechen auf der zahnfleisch und du feieren so ein unsolidarisch scheiße von gut betucht schauspieler*in -- während du der pdl vorwirfst nichts mehr mit der arbeitend bevölkerung zu tun zu haben -- --
100,der hassprediger # spangenberg von der # afd haben kein problem damit eiskalt der # divigate weiter voran zu treiben -- # fakenews gehören ja zu tagesgeschäft der rechtsextrem -- volkspartei -- -- -- --  # fckafd # noafd # fcknzs # nonazis # noh8 # afdverbotjetzt # btw # btw21 # corona # covid19 # divi 
101,# b0105 der # linksterrorismus zeigen sein hässlich fratze --  und der ganz # wohlstandslinke wie # fff -- # blm -- aktivist u.a. sein auf der weg es ihnen gleich zu tun --  dieser abschaum gelten es zu bekämpfen --
102,ja --  leider haben sich dieser ausgrenzend denken in groß teil der gesellschaft erhalten -- gelten leider für aller partei -- aber speziell für der # noafd   und der # werteunion --  der 68er revolte in denken muss permanent weiter führen werden --
103,-- politiker -- journalist und akteur der zivilgesellschaft verharmlos linker gewalt und machen sie so salonfähig -- wer enteignungsdebatten von wohnungsbesitzer führen -- wie spd -- grüne und linkspartei -- oder wenn medium wie der zdf just an tag der ausschreitung über ihr … 2 -- 3
104,ok -- danke -- ich kennen jetzt der impftermin von sämtlicher omas -- opa -- richter -- innen -- politiker -- innen -- hund -- katze -- twitteruser von 19 - 99 und verspüren immer noch kein impfneid -- in monat 14 der pandemie mit 2 kids home --   what ’s wrong with me -- -- --
105,diskrminalisirung gegen menschenhändler sein ein muss deutsch dummshit nazi bulle
106,impfstoff wegwerfen sein ein verhöhnung von arzt und   pfleger -- der persiflage von privilegiert lockdown liebhaber nicht --
107,komisch -- keiner -- der sein covid-erkrankung medial in szene setzen -- haben ein ahnung -- wo er sich anstecken haben können -- ehrlich -- ich haben kein ahnung -- ob ich der glauben sollen & amp -- ob nicht der fidelen clip eher untermauern -- dass der meister verlauf leicht sein -- gut besserung --
108,der problem darin -- daß heutzutage soviel direkt als nazi betiteln werden liegen darin -- dass person wie sie und ihr widerlich antidemokratisch nazi partei dann tatsächlich glauben ein argument gegen der anschuldigung zu haben --
109,2 -- 2  untersuchen -- alle werden nach long-covid-symptome befragen -- kopfschmerz -- müdigkeit -- antriebs und schlaflosigkeit etc.  ergebnis -- kein signifikant unterschied in der antwort der schüler -- egal ob sie erkranken sein oder nicht --  
110,wenn man mensch permanent vorhalten der sie -- rechts -- -- -- rückständig -- oder gar ein -- nazi -- sein -- wenn ihr meinung von der berliner politik und medienblase abweichen weil der mensch ein ganz anderer lebensrealität haben -- dürfen man sich nicht wundern -- wenn der irgendwann so wählen --
111,sie tun mir leid -- ganz offensichtlich sein sie ein unglücklich mensch -- ich wünschen ihnen aller gute -- hoffe für sie -- dass sie der innerer troll bezwingen können --
112,in germany we don't say -- wir brauchen fff germany damit sie unser klima retten -- -- we say -- -- dieser arbeitslos faul gesindel sollen erstmal arbeiten gehen -- dann dürfens a mitreden -- -- and i think that's great --
113,ich finden es korrekt -- dass man sich nicht selbst als antisemit bezeichnen muss -- um durch sein sprache sein antisemitismus ausdrücken -- der sollen uns reichen --  ein lügner werden sich selbst auch nicht so nennen -- aber durch lüge entlarven werden --
114,-- -- -- -- --
115,der total wahnsinn -- man denken nur an der zig hundert tot arzt u pfleger aus der letzter jahrzehnt -- der täglich zig stunde mit maske arbeiten ....
116,der problem sein dass der industriell landwirtschaft als argument für optimiert pflanze heranziehen werden -- dabei sein erster aber der übel -- natürlich geben es immer mehr mäuler zu stopfen -- aber trotz alle sein der ganz zu -- einfach -- zu sagen -- gentechnik und alle sein gut --
117,sowie dein asi freund einer drüber -- man können alle nachlesen -- aber wenn selbst der zu schwer sein -- übrigens sein anderer als nazi zu betiteln ne straftat der gehen jetzt auch raus --
118,unser bundeskanzlerin -- -- -- -- -- -- -- --
119,es geben zeit -- da können # monitor # journalist noch souverän mit kritik umgehen -- beachtlich dünnhäutigkeit -- der wohl ihr grund haben --
120,ab jetzt schon -- stehen in neu ermächtigungsgesetz -- -- -- -- -- --
121,gehts ihnen gut --
122,es sein nicht der impfneid -- es sein einfach der angst -- mehr isses nicht -- ja -- mein dummheit -- aber aber der mensch wie mein bruder der bei einrichten ein testcenter helfen vorziehen sein -- zeigen der fehler in dieser system --
123,haben gerade ein haufen leute -- -- -- blocken -- der der fake-mitfahrgelegenheit-aktion -- feiern -- -- bin überzeugen -- dass ich ein teil davon vor einiger tag schon einmal blocken haben -- haben mancher ein blockier-schutz --
124,bringen der impfen überhaupt was -- 25 % haben erstimpfung und zahl der infektion und tote bleiben unverändert hoch -- es werden vor alle risikogruppe impfen u der effekt sein gleich null -- --
125,der menschheit verblöden --
126,ja -- gegen diskriminierung --
127,jeder situation werden individuell betrachten und greifen wo nötig ein -- wir wünschen ihnen ein schön und friedlich 1. mai -- -- sa
128,haben der # spd in thüringen vor nicht allzu lang zeit nicht ein afd-mitglied der landtag in ihr fraktion aufnehmen -- einfach mal sacken lassen --
129,noch schlimm -- wenn man mit halbwissen in unterricht anderer mensch beeinflussen --
130,in was für ein land leben ich denn -- und wie dumm können schauspieler sein -- dieser sog. kampagne -- # allesdichtmachen -- sein ja der rein horror -- der rechter bodensatz feiern -- um himmel willen -- seit wann sein braun sein wieder gesellschaftsfähig --
131,wie sein wir eigentlich in der situation kommen -- dass vieler jung mensch öffentlich urteil über mensch fällen -- ohne dabei beleg liefern zu können -- und wie kommen wir da wieder raus -- sein der # newnormal -- # neubauer # annewill
132,ja wenn mein antwort auf alle sein -- der der böse elite uns alle umbringen wollen sein -- dann sein man in land der verschwörungsmythiker landen --  sprich -- der was an der querdenker kritisieren werden --
133,an aller impf fanatiker und # zerocovid idiot -- glauben ihr wirklich -- dass man mittelfristig ohne impfung nicht in der flieger können -- seit ihr so dumm -- wenn der usa z.b. öffnen ohne impfflicht -- was denken ihr wie schnell der esel in europa nachziehen --
134,sie leugnen der klimawandel -- protzen damit -- sich nicht impfen zu lassen -- teilen und liked rechter beitrag -- was erwarten wir eigentlich von so jemand --
135,aber sicher sein doch -- wenn er impfschade da sein -- dann wollen sie aber hilfe -- nein der wollen sie nicht -- weil sie wollen es ja probieren gelle  sie wollen der russisch roulette mit der folge --
136,bei aller sympathie -- ein -- bildungsausfall -- zu attestieren sein ein nur schwer verzeihbar und völlig haltlos ohrfeige für der lehrkraft -- schülerin und schüler sowie der eltern -- der in der letzter 15 monat unfassbare leisten haben --
137,armer klein waldgermane
138,der sein nun wirklich naiv -- natürlich werden der -- verein -- querdenken nicht zu umsturz aufrufen -- weil es ihn dann postwendend nicht mehr geben werden -- aber der anhänger -- auch der rädelsführer -- tun es immer wieder -- und handeln auch danach -- sehen angriff auf reichstag --
139,ich wissen nicht -- wen der hier alle betreffen -- aber bitte informieren euch nicht bei account -- der israel in anführungszeich schreiben oder inhalt teilen -- in der der tun werden oder wo der existenzrecht der staat israel mehr oder weniger direkt in frage stellen werden --
140,sie haben es sogar belegen -- in der naturwissenschaft geben es kein 100%ig beweis -- sondern immer ein haufen von belegen --  wissenschaft sein nicht so ihr stärke --
141,2 -- 2  kundgebung bekannt reichsbürger abseits der qd-demo und fragwürdigerweise innerhalb -- sehen bild -- der bannmeil -- gut können der spiegel hier gar nicht der damals falsch berichterstattung zu reichstagssturm belegen --
142,wenn dir der grips gehlt -- um geopolitik zu verstehen sein es nicht mein aufgabe -- dich aufklären --
143,dein kommentar bestätigen nur mein antwort -- ich steigen übrigens jeder tag auf mein fahrrad -- man muss kein mensch gefährden um für der umweltschutz zu sein --
144,haben gestern anfänglich der debatte live verfolgen -- wie der afd sich da wieder präsentieren haben sein typisch -- destruktiv -- asozial und bewusst gesundheitsgefährdend für aller anwesende --  werden zeit -- dass dieser mob -- der nichts als boshaft propaganda verbreiten -- entsorgen werden --
145,wie können man nur sowas retweeten -- -- verrückte -- geben ’s überall -- man denken nur an merkel -- spahn -- lauterbach & amp -- co.
146,haben sich eben mit der artzhelferin unterhalten -- sie meinen der ihr kind heute sportfest haben bei uns in rlp -- der kind müssen bei sportfest draußen in frei maske tragen -- u.der bei zu erwartend 34 grad hitze heute -- es sein wirklich ein kind und menschenquälerrei was los sein -- 
147,dummheit haben kein rasse und muss auch so wenig tolerieren oder akzeptieren werden lol
148,# bundesnotbremse tangieren mich peripher -- da ich sowieso 22 -- 7 mit der arsch zu haus hocken --  jedoch hassen ich bevormundunge jeglicher art --  das sein der groß bevormundung -- der ich jemals erleben haben --
149,über so viel schwachsinn können man sich gar nicht ärgern -- sie kommen ohne feindbild auch nicht wirklich gut durch leben oder -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
150,du sein offensichtlich echt dumm wie schei*e -- aber gut -- du stellen es ja gerne auf twitter zu schau deshalb werden es schon dein absicht sein -- der welt zu zeigen -- dass es einfach hoffnungslos fall geben -- der sich nicht -- beheben -- lassen -- geh nach polen -- keiner brauchen dich in d --
151,ja ich sein mir sicher -- der 58 kind der letzter woche sterben sein sein der allergrößter gefahr für israel -- da können man schonmal phosphorgranata draufschmeißen --  
152,du sein zu ungebildet und infantil für gut gespräch --
153,thorsten schulte demaskieren von super ansar -- ganz deutschland kennen nun sein wahr gesicht --  via # ansarberlin # querdenker
154,aaah der langzeittot
155,wow -- -- -- -- -- --
156,ich vermuten wenn ich ein querdenker erschieße dann sein ich genauso dumm wie ein querdenker -- weil es immer noch der aufgabe von der polizei sein aber ich haben der recht mein hass gegenüber querdenker zu veröffentlichen --
157,weil es ein installiert merkel mann sein -- können der der grund sein --  aufwachen jung mann
158,trau kein partei der harz 4 und   inzidenzwertgrenze groß 50  zustimmen haben --  vorschlag -- 50 -- 30 -- 10  # nocovid   und endlich 2 woche alle zu --  wollen ihr uns der tod verkaufen -- ihr da auf eurer hoch ross   --  pfui  ein spd der der arbeitgeber in hintern kriechen können weg --
159,macht der denn irgendein unterschied -- -- -- -- -- -- unfassbar -- dieser gegeneinander aufrechnen -- und schlimm als vw sein wohl anderer unternehmen -- mit anderer politisch hintergrund -- der bei der em sponsor
160,realität und freiheit sein hoch ideal -- schade -- dass sie durch großmäulig ignorant wie sie mißbrauchen werden --
161,dieser zu verschweigen zeigen sehr deutlich wie der # haltdiefressebild an boden ankommen sein --  der hässlich fratze der wir schon von der querdenke kennen .. hetzen und lüge um von der geistig flach geld sammeln zu können --  # haltdiefressespringerpresse  schämt euch -- 
162,@kubitschekz du sein echt ne lachnummer  ich wiederlege dein -- schießsbefehl -- lüge  und dein einzig antwort sein -- ja -- ja lügenpresse --  und schwurbelst was von putin  du sein der gut anschauungobjekt -- wie dumm und ungebildet es in deutschland abgehen  da fallen mir nichts mehr zu ein
163,jetzt kommen ja der bundesnotbremse -- -- --  der versagen der politik sein völlig unfassbar -- ich haben der niemals für möglich halten -- niemals -- kein einzig spitzenpolitiker in dieser land taugen was -- nicht einer -- aller blender und nichtsnutze -- unfassbar
164,der erschreckend für mich sein -- sonst wenn cops irgendwo mal ausgetrickst werden -- also noch nichtmal auf der fresse bekommen -- kommen der nächster mal mit 10fach kraft -- bei der selbsternannt querdenker*inn irgendwie nicht -- oder bekomm ich der nur nicht mit --
165,lusch laschet sein ganz alleine schuld an niedergang der cdu -- nur um sich bauchpinseln zu fühlen opfern er der führung in deutschland -- was für ein mies charakter --
166,wenn   politiker   wie bernd lucke -- afd --   über ausländisch arbeitslose sprechen -- und sie als -- bodensatz unser gesellschaft --   bezeichnen --  opferrolle mal wieder -- fleek --
167,sein sie wirklich so ..... oder wollen sie mich nur verarschen --
168,wobei man schon fragen dürfen -- ob der direkt ansprache als ' afdp spinner -- nicht justiziabel grenze überschreiten --  und ich habn auch kein lust sowas mit mein gebühr zu bezahlen um ehrlich zu sein --
169,ich klein winz-account können ja zu glück noch etwas sagen über querdenker -- schwurbler und anderer pandemieleugner -- ohne dass sie mir der tl vollrotzen -- ich können sagen dass der lack-saufende vollidiot sein der man mal so richtig in gehirn mulchen haben -- passiert nix -- geil
170,es sein ein schande was hier passieren -- jetzt regieren merkel bis in wohnzimmer -- dieser person sein ein satan und monster -- mich gruseln es vor dieser person -- der sein kriminell
171,der handsymbol zeigen doch -- ich traun mich es ja gar nicht in der mund zu nehmen -- -- arschloch --
172,ja -- und je nach variante können wert von 35 ein ansteckungsgefahr bedeuten oder eben nicht -- bei alpha und delta reichen halt schon weniger virus als bei wildtyp -- daher sein ein hoch ct-wert bei wildtyp wenig bedenklich bei alpha oder delta aber schon eher --
173,mal wieder krass kommentar hier -- der bürgerlich mitte stecken teilweise so tief in arsch der polizei -- dass sie ganz braun wieder rauskommen -- --
